City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
mount isa,0,AU,1573203976,7,-20.73,139.49,96.8,16.11
punta arenas,75,CL,1573203977,86,-53.16,-70.91,37.4,14.99
kapaa,1,US,1573203977,83,22.08,-159.32,71.6,8.05
tuktoyaktuk,100,CA,1573203977,92,69.44,-133.03,10.15,7.87
mpika,39,ZM,1573203977,30,-11.84,31.4,87.35,10.22
tilichiki,0,RU,1573203977,78,60.47,166.1,18.81,7.76
ushuaia,75,AR,1573203977,80,-54.81,-68.31,35.6,13.87
clyde river,90,CA,1573203978,78,70.47,-68.59,17.6,10.29
havelock,90,US,1573203831,87,34.88,-76.9,59.0,19.46
mataura,100,NZ,1573203978,55,-46.19,168.86,51.35,2.46
pevek,4,RU,1573203978,58,69.7,170.27,20.5,14.25
ati,1,TD,1573203978,12,13.21,18.34,93.02,13.24
rafaela,0,AR,1573203978,85,-31.25,-61.49,60.51,5.14
arraial do cabo,40,BR,1573203979,94,-22.97,-42.02,71.6,3.36
hovd,20,NO,1573203979,85,63.83,10.7,23.0,5.82
kristiansund,20,NO,1573203979,63,63.12,7.73,32.0,4.7
taolanaro,20,NO,1573203979,63,63.12,7.73,32.0,4.7
attawapiskat,20,NO,1573203979,63,63.12,7.73,32.0,4.7
vardo,1,US,1573203979,47,39.62,-77.74,37.4,17.22
springdale,1,US,1573203960,79,36.19,-94.13,28.4,8.05
kysyl-syr,0,RU,1573203980,94,63.9,122.77,-13.71,1.72
thompson,90,CA,1573203738,78,55.74,-97.86,10.4,1.68
bara,63,NG,1573203980,19,10.41,10.6,89.73,2.71
wexford,90,US,1573203812,79,40.63,-80.06,28.4,8.05
victoria,75,BN,1573203786,70,5.28,115.24,84.2,5.82
port alfred,40,ZA,1573203981,61,-33.59,26.89,68.79,14.52
cabo san lucas,100,MX,1573203981,70,22.89,-109.91,73.11,1.68
nizhneyansk,100,MX,1573203981,70,22.89,-109.91,73.11,1.68
hermanus,3,ZA,1573203981,75,-34.42,19.24,63.54,19.01
wewak,100,PG,1573203981,87,-3.55,143.63,75.69,7.38
bredasdorp,75,ZA,1573203982,52,-34.53,20.04,66.2,9.17
pisco,75,PE,1573203982,82,-13.71,-76.2,60.8,1.12
tumannyy,75,PE,1573203982,82,-13.71,-76.2,60.8,1.12
dikson,70,RU,1573203982,98,73.51,80.55,-5.48,10.56
carnarvon,1,ZA,1573203982,15,-30.97,22.13,69.8,10.07
santiago del estero,0,AR,1573203982,60,-27.8,-64.26,68.65,4.99
male,43,UA,1573203983,80,50.74,33.7,51.01,8.39
atuona,1,PF,1573203983,80,-9.8,-139.03,79.59,14.0
tasiilaq,100,GL,1573203983,55,65.61,-37.64,37.4,41.38
thinadhoo,35,MV,1573203983,68,0.53,72.93,82.76,7.43
hithadhoo,2,MV,1573203706,67,-0.6,73.08,82.63,5.46
kodiak,1,US,1573203984,62,39.95,-94.76,23.0,5.82
turka,87,RU,1573203984,64,52.95,108.22,42.31,3.47
yellowknife,90,CA,1573203984,85,62.45,-114.38,10.4,4.7
olafsvik,90,CA,1573203984,85,62.45,-114.38,10.4,4.7
talnakh,20,RU,1573203984,75,69.49,88.39,-14.81,11.18
kawalu,26,ID,1573203984,55,-7.38,108.21,81.9,6.78
georgetown,20,GY,1573203985,100,6.8,-58.16,75.2,4.7
chuy,4,UY,1573203985,93,-33.69,-53.46,60.17,8.3
itaueira,93,BR,1573203985,44,-7.6,-43.03,78.62,7.27
coachella,1,US,1573203985,21,33.68,-116.18,64.4,8.68
odesskoye,100,RU,1573203985,87,54.21,72.97,40.91,19.55
tura,100,RU,1573203918,95,64.27,100.22,13.1,5.88
hays,1,US,1573203892,68,38.88,-99.33,24.8,4.7
lompoc,90,US,1573203986,93,34.64,-120.46,53.6,8.93
okha,99,RU,1573203986,86,53.59,142.95,24.55,15.41
songea,75,TZ,1573203986,54,-10.68,35.65,78.8,11.41
esperance,0,AU,1573203986,56,-33.86,121.89,68.0,19.46
kruisfontein,91,ZA,1573203987,71,-34.0,24.73,63.46,11.12
hobart,20,AU,1573203987,57,-42.88,147.33,48.2,11.41
myitkyina,100,MM,1573203987,47,25.38,97.4,84.78,3.15
lasa,0,CY,1573203987,39,34.92,32.53,80.6,5.82
beyneu,37,KZ,1573203987,55,45.32,55.19,51.28,11.16
busselton,0,AU,1573203988,49,-33.64,115.35,75.69,7.52
honjo,75,JP,1573203988,57,39.38,140.05,50.0,12.75
rikitea,67,PF,1573203988,82,-23.12,-134.97,74.14,7.52
new norfolk,20,AU,1573203988,57,-42.78,147.06,48.2,11.41
vaini,40,IN,1573203988,51,15.34,74.49,84.2,4.7
college,90,US,1573203988,79,64.86,-147.8,23.0,4.7
igualada,33,ES,1573203989,57,41.58,1.62,53.6,6.93
merauke,100,ID,1573203989,87,-8.49,140.4,77.95,2.77
port-cartier,5,CA,1573203989,85,50.03,-66.88,14.0,6.93
kalachinsk,100,RU,1573203989,87,55.05,74.58,41.02,19.37
cuamba,13,MZ,1573203989,31,-14.8,36.54,94.57,7.99
lazaro cardenas,100,MX,1573203990,80,28.39,-105.62,57.22,3.76
terrace bay,0,CA,1573203837,68,48.78,-87.1,14.05,2.73
nikolskoye,90,RU,1573203990,92,59.7,30.79,28.4,6.71
nara,20,JP,1573203990,42,34.68,135.8,62.6,16.11
asmar,92,AF,1573203990,38,35.03,71.36,51.57,1.28
creston,1,CA,1573203991,79,49.1,-116.52,28.4,3.36
sinnamary,69,GF,1573203991,82,5.38,-52.96,81.61,15.86
bethel,90,US,1573203712,100,60.79,-161.76,30.2,6.93
fenelon falls,1,CA,1573203991,85,44.54,-78.74,19.4,5.82
mahebourg,75,MU,1573203991,61,-20.41,57.7,78.8,17.22
nago,75,IT,1573203992,93,45.88,10.89,50.0,4.7
bluff,0,AU,1573203992,12,-23.58,149.07,85.95,12.68
karratha,94,AU,1573203992,59,-20.74,116.85,82.6,17.16
ponta do sol,100,BR,1573203992,93,-20.63,-46.0,68.7,1.66
galgani,100,BR,1573203992,93,-20.63,-46.0,68.7,1.66
coro,100,VE,1573203993,83,11.41,-69.67,78.58,14.56
